"filename", "language", "YAML", "C++", "JSON", "HTML", "Markdown", "Dart", "Properties", "XML", "Swift", "MS SQL", "comment", "blank", "total"
"d:\flutter_app\first_app\lib\screens\manager_screen.dart", "Dart", 0, 0, 0, 0, 0, 619, 0, 0, 0, 0, 9, 25, 653
"d:\flutter_app\first_app\lib\screens\manager_settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 1063, 0, 0, 0, 0, 22, 55, 1140
"d:\flutter_app\first_app\lib\screens\monthly_amount_chart_screen.dart", "Dart", 0, 0, 0, 0, 0, 375, 0, 0, 0, 0, 6, 19, 400
"d:\flutter_app\first_app\lib\screens\mosque_screen.dart", "Dart", 0, 0, 0, 0, 0, 3328, 0, 0, 0, 0, 143, 228, 3699
"d:\flutter_app\first_app\lib\screens\payer_screen.dart", "Dart", 0, 0, 0, 0, 0, 443, 0, 0, 0, 0, 8, 16, 467
"d:\flutter_app\first_app\lib\screens\prayer_timings_screen.dart", "Dart", 0, 0, 0, 0, 0, 581, 0, 0, 0, 0, 23, 44, 648
"d:\flutter_app\first_app\lib\screens\premium_screen.dart", "Dart", 0, 0, 0, 0, 0, 308, 0, 0, 0, 0, 16, 9, 333
"d:\flutter_app\first_app\lib\screens\quran_continuous_screen.dart", "Dart", 0, 0, 0, 0, 0, 1268, 0, 0, 0, 0, 122, 136, 1526
"d:\flutter_app\first_app\lib\screens\quran_screen.dart", "Dart", 0, 0, 0, 0, 0, 792, 0, 0, 0, 0, 24, 38, 854
"d:\flutter_app\first_app\lib\screens\reports_screen.dart", "Dart", 0, 0, 0, 0, 0, 1799, 0, 0, 0, 0, 85, 103, 1987
"d:\flutter_app\first_app\lib\screens\role_selection_screen.dart", "Dart", 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 1, 21, 320
"d:\flutter_app\first_app\lib\screens\settings_screen.dart", "Dart", 0, 0, 0, 0, 0, 883, 0, 0, 0, 0, 15, 36, 934
"d:\flutter_app\first_app\lib\screens\summary_screen.dart", "Dart", 0, 0, 0, 0, 0, 445, 0, 0, 0, 0, 3, 23, 471
"d:\flutter_app\first_app\lib\screens\tabular_transaction_history_screen.dart", "Dart", 0, 0, 0, 0, 0, 925, 0, 0, 0, 0, 16, 51, 992
"d:\flutter_app\first_app\lib\services\ad_service.dart", "Dart", 0, 0, 0, 0, 0, 115, 0, 0, 0, 0, 13, 20, 148
"d:\flutter_app\first_app\lib\services\app_session_service.dart", "Dart", 0, 0, 0, 0, 0, 48, 0, 0, 0, 0, 3, 13, 64
"d:\flutter_app\first_app\lib\services\data_recovery_service.dart", "Dart", 0, 0, 0, 0, 0, 192, 0, 0, 0, 0, 12, 28, 232
"d:\flutter_app\first_app\lib\services\database_service.dart", "Dart", 0, 0, 0, 0, 0, 283, 0, 0, 0, 0, 13, 45, 341
"d:\flutter_app\first_app\lib\services\direct_google_sheets_service.dart", "Dart", 0, 0, 0, 0, 0, 514, 0, 0, 0, 0, 36, 94, 644
"d:\flutter_app\first_app\lib\services\google_sheets_export_service.dart", "Dart", 0, 0, 0, 0, 0, 252, 0, 0, 0, 0, 3, 44, 299
"d:\flutter_app\first_app\lib\services\google_sheets_service.dart", "Dart", 0, 0, 0, 0, 0, 656, 0, 0, 0, 0, 79, 122, 857
"d:\flutter_app\first_app\lib\services\language_service.dart", "Dart", 0, 0, 0, 0, 0, 687, 0, 0, 0, 0, 77, 78, 842
"d:\flutter_app\first_app\lib\services\quran_database_service.dart", "Dart", 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 26, 50, 291
"d:\flutter_app\first_app\lib\services\script_based_export_service.dart", "Dart", 0, 0, 0, 0, 0, 215, 0, 0, 0, 0, 10, 49, 274
"d:\flutter_app\first_app\lib\services\script_based_recovery_service.dart", "Dart", 0, 0, 0, 0, 0, 196, 0, 0, 0, 0, 14, 32, 242
"d:\flutter_app\first_app\lib\services\user_database_service.dart", "Dart", 0, 0, 0, 0, 0, 128, 0, 0, 0, 0, 2, 19, 149
"d:\flutter_app\first_app\lib\utils\asset_utils.dart", "Dart", 0, 0, 0, 0, 0, 76, 0, 0, 0, 0, 9, 11, 96
"d:\flutter_app\first_app\lib\utils\image_cache_manager.dart", "Dart", 0, 0, 0, 0, 0, 36, 0, 0, 0, 0, 7, 6, 49
"d:\flutter_app\first_app\lib\utils\logger.dart", "Dart", 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 8, 46
"d:\flutter_app\first_app\lib\widgets\app_lifecycle_observer.dart", "Dart", 0, 0, 0, 0, 0, 19, 0, 0, 0, 0, 0, 2, 21
"d:\flutter_app\first_app\lib\widgets\bottom_nav_bar.dart", "Dart", 0, 0, 0, 0, 0, 82, 0, 0, 0, 0, 4, 5, 91
"d:\flutter_app\first_app\lib\widgets\feature_grid.dart", "Dart", 0, 0, 0, 0, 0, 152, 0, 0, 0, 0, 5, 4, 161
"d:\flutter_app\first_app\lib\widgets\prayer_card.dart", "Dart", 0, 0, 0, 0, 0, 298, 0, 0, 0, 0, 15, 13, 326
